isExoplanet,hostName,orbitalPeriod,orbitalPeriodMin,orbitalPeriodMax,transitDuration,transitDurationMin,transitDurationMax,transitDepth,transitDepthMin,transitDepthMax,impactParameter,impactParameterMin,impactParameterMax,planetRadiusEarth,planetRadiusEarthMin,planetRadiusEarthMax,planetRadiusJupiter,planetRadiusJupiterMin,planetRadiusJupiterMax,planetMassEarth,planetMassEarthMin,planetMassEarthMax,planetMassJupiter,planetMassJupiterMin,planetMassJupiterMax,planetDensity,planetDensityMin,planetDensityMax,equilibriumTemperature,equilibriumTemperatureMin,equilibriumTemperatureMax,insolationFlux,insolationFluxMin,insolationFluxMax,stellarEffectiveTemperature,stellarEffectiveTemperatureMin,stellarEffectiveTemperatureMax,stellarSurfaceGravity,stellarSurfaceGravityMin,stellarSurfaceGravityMax,stellarRadius,stellarRadiusMin,stellarRadiusMax,stellarMass,stellarMassMin,stellarMassMax,stellarMetallicity,stellarMetallicityMin,stellarMetallicityMax,stellarAge,stellarAgeMin,stellarAgeMax,rightAscension,declination,magnitude
0,,25.6416117,7.80E-04,-7.80E-04,5.5,1.2,-1.2,1.26E+02,3.08E+01,-3.08E+01,0.5744,0.0233,-0.4658,1.76,1.00E+00,-4.70E-01,,,,,,,,,,,,,803,,,98.5,167.34,-51.36,6297,149,-191,4.155,0.211,-0.299,1.506,0.855,-0.398,,,,,,,,,,294.05481,39.845249,12.211
0,,1.33258455,3.23E-05,-3.23E-05,5.77,1.1,-1.1,1.53E+02,2.40E+01,-2.40E+01,1.141,2.093,-0.22,15.89,4.76E+00,-1.71E+00,,,,,,,,,,,,,1680,,,1884.66,1668.18,-580.88,6039,168,-210,4.493,0.052,-0.208,0.951,0.285,-0.102,,,,,,,,,,295.3027,46.772018,15.556
0,,350.81029,2.34E-02,-2.34E-02,11.29,1.3,-1.3,5.38E+02,5.92E+01,-5.92E+01,0.3892,0.0574,-0.3892,2.86,1.65E+00,-4.80E-01,,,,,,,,,,,,,282,,,1.51,2.67,-0.61,5841,162,-212,4.321,0.12,-0.32,1.226,0.709,-0.203,,,,,,,,,,292.27774,39.461071,14.982
0,,13.9482197,2.30E-04,-2.30E-04,7.686,0.338,-0.338,1.19E+02,9.50E+00,-9.50E+00,0.197,0.247,-0.196,2.53,4.20E-01,-7.80E-01,,,,,,,,,,,,,1063,,,301.8,136.06,-164.87,5529,91,-75,3.808,0.217,-0.078,2.346,0.389,-0.722,,,,,,,,,,284.35312,48.740211,14.305
0,,5.67577999,5.45E-05,-5.45E-05,3.554,0.209,-0.209,5.12E+01,5.30E+00,-5.30E+00,0.91,0.059,-0.639,1.22,3.90E-01,-2.40E-01,,,,,,,,,,,,,1357,,,802.11,733.27,-354.6,6681,161,-241,4.233,0.124,-0.186,1.438,0.459,-0.282,,,,,,,,,,288.56729,41.09013,13.802
0,,0.570953851,3.43E-06,-3.43E-06,0.998,0.216,-0.216,7.61E+01,1.09E+01,-1.09E+01,0.059,0.408,-0.059,1.01,3.30E-01,-1.20E-01,,,,,,,,,,,,,2464,,,8688.17,8393.33,-2975.2,6238,173,-260,4.396,0.073,-0.218,1.145,0.375,-0.134,,,,,,,,,,292.58865,38.80143,15.212
0,,49.564693,8.24E-04,-8.24E-04,8.54,0.423,-0.423,1.14E+02,8.70E+00,-8.70E+00,0.685,0.009,-0.521,1.63,3.00E-01,-3.00E-01,,,,,,,,,,,,,588,,,28.19,14.16,-10.96,5907,107,-131,4.212,0.143,-0.117,1.442,0.263,-0.263,,,,,,,,,,300.56241,46.037819,12.83
0,,4.29258258,3.68E-05,-3.68E-05,3.069,0.17,-0.17,3.70E+02,2.66E+01,-2.66E+01,0.339,0.113,-0.339,1.87,5.60E-01,-1.80E-01,,,,,,,,,,,,,1161,,,428.77,389.18,-135.49,6137,191,-255,4.487,0.05,-0.2,0.963,0.288,-0.096,,,,,,,,,,289.91635,43.507671,15.888
0,,0.960842633,4.40E-07,-4.40E-07,2.6441,0.0206,-0.0206,2.02E+03,1.34E+01,-1.34E+01,1.341,0.363,-0.239,67.53,2.09E+01,-1.40E+01,,,,,,,,,,,,,2808,,,14655.53,13807.27,-6885.77,7381,232,-310,4.186,0.124,-0.186,1.597,0.495,-0.33,,,,,,,,,,295.5596,46.17804,13.402
0,,14.5893928,,,15.54,,,,,,,,,,,,,,,,,,,,,,,,,,,102.46,138.91,-29.61,,,,,,,,,,,,,,,,,,,294.74988,49.663441,12.616
0,,2.89494709,2.25E-05,-2.25E-05,3.254,0.179,-0.179,4.58E+01,3.80E+00,-3.80E+00,0.191,0.266,-0.191,1.16,3.40E-01,-2.80E-01,,,,,,,,,,,,,1919,,,3204.25,2992.58,-1774.8,7087,250,-428,4.137,0.17,-0.187,1.684,0.501,-0.41,,,,,,,,,,291.54343,38.048759,13.458
